2025-09-26 16:12:06 | A=95.19 | B=61.62 | poměr=1.5448 | odchylka=4.53% | pohlaví=1 | věk=20-40
2025-09-26 16:14:00 | A=93.37 | B=63.85 | poměr=1.4623 | odchylka=9.62% | pohlaví=1 | věk=20-40
2025-09-26 16:17:06 | A=64.84 | B=41.4 | poměr=1.5662 | odchylka=3.20% | pohlaví=0 | věk=0-10
2025-09-26 16:20:03 | A=87.55 | B=55.79 | poměr=1.5693 | odchylka=3.01% | pohlaví=1 | věk=60-80
2025-09-26 16:22:45 | A=86.39 | B=53.81 | poměr=1.6055 | odchylka=0.78% | pohlaví=1 | věk=20-40
2025-09-26 16:26:21 | A=83.06 | B=52.76 | poměr=1.5743 | odchylka=2.70% | pohlaví=0 | věk=40-60
2025-09-26 16:28:37 | A=82.64 | B=53.61 | poměr=1.5415 | odchylka=4.73% | pohlaví=1 | věk=20-40
2025-09-26 16:48:32 | A=94.02 | B=59.68 | poměr=1.5754 | odchylka=2.63% | pohlaví=1 | věk=40-60
2025-09-26 16:50:50 | A=85.84 | B=53.1 | poměr=1.6166 | odchylka=0.09% | pohlaví=0 | věk=40-60
2025-09-26 16:58:33 | A=89.18 | B=58.79 | poměr=1.5169 | odchylka=6.25% | pohlaví=1 | věk=40-60
2025-09-26 17:00:16 | A=89.4 | B=59.14 | poměr=1.5117 | odchylka=6.57% | pohlaví=1 | věk=60-80
2025-09-26 17:03:53 | A=83.59 | B=47.93 | poměr=1.7440 | odchylka=7.79% | pohlaví=1 | věk=20-40
2025-09-26 17:21:23 | A=83.8 | B=53.45 | poměr=1.5678 | odchylka=3.10% | pohlaví=0 | věk=20-40
2025-09-26 17:23:10 | A=54.38 | B=34.11 | poměr=1.5943 | odchylka=1.47% | pohlaví=0 | věk=0-10
2025-09-26 17:24:38 | A=57.75 | B=35.29 | poměr=1.6364 | odchylka=1.14% | pohlaví=1 | věk=0-10
2025-09-26 17:26:43 | A=95.27 | B=57.42 | poměr=1.6592 | odchylka=2.54% | pohlaví=1 | věk=40-60
2025-09-26 17:28:09 | A=83.71 | B=54.36 | poměr=1.5399 | odchylka=4.83% | pohlaví=0 | věk=60-80
2025-09-26 17:30:42 | A=98.83 | B=64.45 | poměr=1.5334 | odchylka=5.23% | pohlaví=1 | věk=10-20
2025-09-26 17:32:19 | A=91.63 | B=61.58 | poměr=1.4880 | odchylka=8.04% | pohlaví=1 | věk=40-60
2025-09-26 17:33:59 | A=83.84 | B=52.7 | poměr=1.5909 | odchylka=1.68% | pohlaví=0 | věk=10-20
2025-09-26 17:35:52 | A=86.08 | B=53.28 | poměr=1.6156 | odchylka=0.15% | pohlaví=0 | věk=20-40
2025-09-26 17:37:42 | A=97.34 | B=58.43 | poměr=1.6659 | odchylka=2.96% | pohlaví=1 | věk=20-40
2025-09-26 17:39:24 | A=74.19 | B=49.37 | poměr=1.5027 | odchylka=7.13% | pohlaví=0 | věk=0-10
2025-09-26 17:41:07 | A=92.54 | B=58.79 | poměr=1.5741 | odchylka=2.72% | pohlaví=0 | věk=40-60
2025-09-26 17:43:13 | A=78.54 | B=50.73 | poměr=1.5482 | odchylka=4.32% | pohlaví=0 | věk=60-80
2025-09-26 17:44:52 | A=97.55 | B=63.99 | poměr=1.5245 | odchylka=5.78% | pohlaví=1 | věk=20-40
2025-09-26 17:46:22 | A=77.84 | B=47.41 | poměr=1.6418 | odchylka=1.47% | pohlaví=0 | věk=0-10
2025-09-26 17:47:56 | A=85.1 | B=54.03 | poměr=1.5751 | odchylka=2.66% | pohlaví=0 | věk=20-40
2025-09-26 17:49:20 | A=78.31 | B=48.16 | poměr=1.6260 | odchylka=0.49% | pohlaví=1 | věk=10-20
2025-09-26 17:50:48 | A=87.48 | B=56.2 | poměr=1.5566 | odchylka=3.80% | pohlaví=0 | věk=20-40
2025-09-26 17:52:13 | A=70.49 | B=45.16 | poměr=1.5609 | odchylka=3.53% | pohlaví=0 | věk=10-20
2025-09-26 17:53:31 | A=76.29 | B=44.78 | poměr=1.7037 | odchylka=5.29% | pohlaví=0 | věk=10-20
2025-09-26 17:54:59 | A=89.52 | B=57.2 | poměr=1.5650 | odchylka=3.28% | pohlaví=1 | věk=40-60
2025-09-26 17:56:23 | A=82.58 | B=51.35 | poměr=1.6082 | odchylka=0.61% | pohlaví=0 | věk=20-40
2025-09-26 17:57:46 | A=95.64 | B=63.79 | poměr=1.4993 | odchylka=7.34% | pohlaví=1 | věk=20-40
2025-09-26 17:59:13 | A=94.55 | B=61.44 | poměr=1.5389 | odchylka=4.89% | pohlaví=1 | věk=20-40
2025-09-26 18:00:46 | A=90.17 | B=61.79 | poměr=1.4593 | odchylka=9.81% | pohlaví=1 | věk=40-60
2025-09-26 18:02:50 | A=61.68 | B=40.17 | poměr=1.5355 | odchylka=5.10% | pohlaví=0 | věk=0-10
2025-09-26 18:04:05 | A=81.51 | B=51.09 | poměr=1.5954 | odchylka=1.40% | pohlaví=0 | věk=20-40
2025-09-26 18:05:48 | A=77.44 | B=47.39 | poměr=1.6341 | odchylka=0.99% | pohlaví=1 | věk=10-20
2025-09-26 18:07:14 | A=89.73 | B=55.35 | poměr=1.6211 | odchylka=0.19% | pohlaví=0 | věk=20-40
2025-09-26 18:08:26 | A=91.86 | B=57.82 | poměr=1.5887 | odchylka=1.81% | pohlaví=1 | věk=20-40
2025-09-26 18:10:16 | A=93.06 | B=54.22 | poměr=1.7163 | odchylka=6.08% | pohlaví=1 | věk=20-40
2025-09-26 18:11:41 | A=84.74 | B=54.28 | poměr=1.5612 | odchylka=3.51% | pohlaví=0 | věk=20-40
2025-09-26 18:15:15 | A=80.67 | B=50.57 | poměr=1.5952 | odchylka=1.41% | pohlaví=0 | věk=40-60
2025-09-26 18:19:32 | A=98.91 | B=62.08 | poměr=1.5933 | odchylka=1.53% | pohlaví=1 | věk=10-20
2025-09-26 18:24:39 | A=90.06 | B=53.35 | poměr=1.6881 | odchylka=4.33% | pohlaví=0 | věk=40-60
2025-09-26 18:26:01 | A=102.09 | B=63.7 | poměr=1.6027 | odchylka=0.95% | pohlaví=1 | věk=40-60
2025-09-26 18:27:48 | A=87.59 | B=52.36 | poměr=1.6728 | odchylka=3.39% | pohlaví=0 | věk=20-40
2025-09-26 18:29:23 | A=92.14 | B=59.67 | poměr=1.5442 | odchylka=4.57% | pohlaví=1 | věk=60-80
2025-09-26 18:31:03 | A=79.54 | B=49.99 | poměr=1.5911 | odchylka=1.66% | pohlaví=0 | věk=20-40
2025-09-26 18:32:03 | A=92.33 | B=55.11 | poměr=1.6754 | odchylka=3.54% | pohlaví=1 | věk=20-40
2025-09-26 18:33:39 | A=91.79 | B=57.18 | poměr=1.6053 | odchylka=0.79% | pohlaví=0 | věk=40-60
